Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
UK average,5.1,5,4.9,4.4,4.3,3.8,3.8,3.7,4,4.3,4.5,4.7
Thames,4.2,4,4,3.7,3.7,3.3,3.4,3.2,3.3,3.5,3.5,3.8
South East England,4.8,4.5,4.4,3.9,3.9,3.6,3.7,3.5,3.7,4,4.1,4.4
Southern England,5.1,4.7,4.6,4.3,4.3,4,4,3.9,4,4.5,4.4,4.7
South West England,6,5.6,5.6,5,5,4.4,4.4,4.3,4.7,5.4,5.5,5.9
Severn Wales / Severn England,4.9,4.6,4.7,4.3,4.3,3.8,3.8,3.7,3.8,4.3,4.3,4.6
Midlands,4.5,4.5,4.4,3.9,3.8,3.4,3.3,3.3,3.5,3.8,3.9,4.1
West Pennines Wales / West Pennines England,4.8,4.7,4.6,4.2,4.1,3.7,3.7,3.7,3.7,4.2,4.3,4.5
North West England / South West Scotland,5.2,5.2,5,4.4,4.3,3.9,3.7,3.7,4.1,4.6,4.8,4.7
Borders Scotland / Borders England,5.2,5.2,5,4.4,4.1,3.8,3.5,3.5,3.9,4.2,4.6,4.7
North East England,5.3,5.2,5,4.3,4.2,3.9,3.6,3.6,4.1,4.3,4.6,4.8
East Pennines,5.1,5,4.9,4.4,4.3,3.8,3.8,3.7,4,4.3,4.5,4.7
East Anglia,4.9,4.8,4.7,4.2,4.2,3.7,3.8,3.8,4,4.2,4.3,4.5
Wales,6.5,6.2,5.9,5.2,5.1,4.7,4.5,4.5,5,5.7,6,6
West Scotland,6.2,6.2,5.9,5.2,4.9,4.7,4.3,4.3,4.9,5.4,5.7,5.4
East Scotland,5.7,5.8,5.7,5,4.8,4.6,4.1,4.1,4.7,5,5.2,5
North East Scotland,5.7,5.8,5.7,5,4.6,4.4,4,4.1,4.6,5.2,5.3,5.1
Highland,6.5,6.8,6.4,5.7,5.1,5.1,4.6,4.5,5.3,5.8,6.1,5.7
Western Isles,8.3,8.4,7.9,6.6,6.1,6.1,5.6,5.6,6.3,7.3,7.7,7.5
Orkney,7.9,8.3,7.9,7.1,6.2,6.1,5.5,5.6,6.4,7.3,7.8,7.3
Shetland,9.5,9.4,8.7,7.5,6.6,6.4,5.7,6,7.2,8.5,8.9,8.5
Northern Ireland,5.4,5.3,5,4.7,4.5,4.1,3.9,3.7,4.2,4.6,5,5
